时间,状态,故障评分(%),电流不平衡度(%),负序分量比例(%),三次谐波比例(%)
2025/07/28 16:42:43,预警,21.1,9.72,9.72,47.68
2025/07/28 16:42:39,预警,21.1,9.71,9.71,47.72
2025/07/28 13:46:31,预警,20.1,9.39,9.39,45.24
2025/07/28 13:44:41,预警,16.5,9.31,9.31,33.39
2025/07/28 13:44:35,预警,20.5,9.48,9.48,46.06
2025/07/28 13:44:29,预警,20.5,9.50,9.50,46.17
2025/07/28 13:44:15,预警,15.1,10.01,10.01,27.06
2025/07/28 13:43:52,预警,15.1,10.01,10.01,26.86
2025/07/28 13:40:58,预警,18.9,9.16,9.16,41.58
2025/07/28 13:40:47,预警,18.9,9.13,9.13,41.57
2025/07/28 13:40:45,预警,23.4,10.95,10.95,52.41
2025/07/28 13:40:39,预警,23.4,10.98,10.98,52.40
2025/07/28 13:40:11,预警,22.1,10.18,10.18,49.92
2025/07/28 13:39:46,预警,17.7,9.13,9.13,37.60
2025/07/28 13:39:40,预警,17.6,9.12,9.12,37.47
2025/07/28 13:39:34,预警,15.2,9.98,9.98,27.31
2025/07/28 13:39:28,预警,15.2,9.95,9.95,27.36
2025/07/28 11:12:06,预警,27.6,15.37,15.37,56.20
2025/07/28 11:00:23,预警,24.3,11.70,11.70,53.84
2025/07/28 11:00:16,预警,27.7,15.42,15.42,56.28
2025/07/28 10:55:02,预警,26.5,13.87,13.87,55.97
2025/07/28 10:54:52,预警,26.5,13.85,13.85,56.01
2025/07/28 10:54:42,预警,17.0,9.18,9.18,35.38
2025/07/28 10:48:08,预警,27.6,15.36,15.36,56.27
2025/07/28 10:48:02,预警,27.6,15.36,15.36,56.28
2025/07/28 10:47:52,预警,20.5,9.50,9.50,46.22
2025/07/28 10:47:42,预警,20.5,9.51,9.51,46.15
2025/07/28 10:47:38,预警,20.5,9.49,9.49,46.14
2025/07/28 10:47:31,预警,20.5,9.50,9.50,46.22
2025/07/28 10:47:19,预警,20.4,9.48,9.48,45.97
2025/07/28 10:47:13,预警,20.4,9.47,9.47,45.99
2025/07/28 10:47:07,预警,17.6,9.13,9.13,37.24
2025/07/28 10:46:45,预警,21.2,9.72,9.72,47.87
2025/07/28 10:46:37,预警,21.3,9.81,9.81,48.03
2025/07/28 10:46:24,预警,27.6,15.34,15.34,56.25
2025/07/28 10:46:18,预警,27.7,15.36,15.36,56.34
2025/07/28 10:46:10,预警,25.2,12.42,12.42,54.87
2025/07/28 10:46:06,预警,27.6,15.37,15.37,56.28
2025/07/28 10:26:28,预警,18.1,9.08,9.08,39.26
2025/07/28 10:26:16,预警,19.2,9.19,9.19,42.57
2025/07/28 10:23:36,预警,27.6,15.39,15.39,56.25
2025/07/28 10:23:30,预警,19.8,9.30,9.30,44.42
2025/07/28 10:22:51,预警,15.1,9.95,9.95,27.24
2025/07/28 10:20:51,预警,16.1,9.42,9.42,31.79
2025/07/28 10:20:45,预警,16.1,9.44,9.44,31.78
2025/07/28 10:19:50,预警,24.4,11.71,11.71,53.93
