时间,Ia,Ib,Ic,转速,负载
0.000,3.423,3.756,-7.289,1500,80
0.001,4.125,2.958,-7.192,1500,80
0.002,4.528,1.961,-6.595,1500,80
0.003,5.230,0.663,-5.998,1500,80
0.004,5.832,-0.546,-5.190,1500,80
0.005,6.134,-1.855,-4.283,1500,80
0.006,6.236,-2.964,-3.276,1500,80
0.007,6.338,-3.972,-2.269,1500,80
0.008,6.139,-4.781,-1.362,1500,80
0.009,5.742,-5.491,-0.255,1500,80
0.010,5.145,-5.901,0.952,1500,80
0.011,4.449,-6.212,1.958,1500,80
0.012,3.553,-6.222,2.864,1500,80
0.013,2.457,-6.132,3.671,1500,80
0.014,1.461,-5.942,4.578,1500,80
0.015,0.364,-5.553,5.285,1500,80
0.016,-0.732,-5.064,5.892,1500,80
0.017,-1.729,-4.475,6.201,1500,80
0.018,-2.726,-3.686,6.510,1500,80
0.019,-3.622,-2.898,6.520,1500,80
0.020,-4.519,-1.910,6.430,1500,80
0.021,-5.116,-0.922,6.141,1500,80
0.022,-5.613,0.066,5.551,1500,80
0.023,-5.910,1.054,4.863,1500,80
0.024,-6.008,2.042,3.975,1500,80
0.025,-5.906,2.931,3.087,1500,80
0.026,-5.605,3.720,2.089,1500,80
0.027,-5.104,4.509,0.692,1500,80
0.028,-4.604,5.199,-0.506,1500,80
0.029,-3.904,5.690,-1.803,1500,80
0.030,-3.104,6.081,-2.801,1500,80
0.031,-2.105,6.273,-3.999,1500,80
0.032,-1.107,6.166,-4.898,1500,80
0.033,-0.208,5.960,-5.697,1500,80
0.034,0.691,5.653,-6.297,1500,80
0.035,1.589,5.047,-6.697,1500,80
0.036,2.488,4.341,-6.798,1500,80
0.037,3.386,3.536,-6.901,1500,80
0.038,4.184,2.731,-6.904,1500,80
0.039,4.883,1.626,-6.607,1500,80
0.040,5.482,0.621,-6.010,1500,80
0.041,5.881,-0.384,-5.413,1500,80
0.042,6.181,-1.489,-4.617,1500,80
0.043,6.280,-2.494,-3.721,1500,80
0.044,6.280,-3.500,-2.724,1500,80
0.045,6.080,-4.405,-1.628,1500,80
0.046,5.680,-5.211,-0.532,1500,80
0.047,5.180,-5.818,0.664,1500,80
0.048,4.581,-6.225,1.761,1500,80
0.049,3.681,-6.331,2.758,1500,80
0.050,2.682,-6.338,3.755,1500,80
0.051,1.584,-6.144,4.652,1500,80
0.052,0.485,-5.752,5.449,1500,80
0.053,-0.614,-5.160,6.047,1500,80
0.054,-1.613,-4.468,6.454,1500,80
0.055,-2.612,-3.677,6.654,1500,80
0.056,-3.511,-2.886,6.654,1500,80
0.057,-4.410,-1.996,6.454,1500,80
0.058,-5.010,-1.005,6.055,1500,80
0.059,-5.510,0.085,5.456,1500,80
0.060,-5.911,1.076,4.758,1500,80
0.061,-6.011,2.066,3.960,1500,80
0.062,-5.912,2.957,2.962,1500,80
0.063,-5.612,3.747,1.964,1500,80
0.064,-5.113,4.437,0.866,1500,80
0.065,-4.414,5.127,-0.332,1500,80
0.066,-3.715,5.718,-1.430,1500,80
0.067,-2.916,6.108,-2.528,1500,80
0.068,-2.117,6.299,-3.527,1500,80
0.069,-1.119,6.189,-4.525,1500,80
0.070,-0.220,5.981,-5.424,1500,80
0.071,0.679,5.573,-6.124,1500,80
0.072,1.577,4.965,-6.624,1500,80
0.073,2.476,4.258,-6.923,1500,80
0.074,3.375,3.450,-7.024,1500,80
0.075,4.174,2.543,-6.925,1500,80
0.076,4.873,1.636,-6.627,1500,80
0.077,5.472,0.630,-6.029,1500,80
0.078,5.872,-0.477,-5.331,1500,80
0.079,6.172,-1.583,-4.535,1500,80
0.080,6.271,-2.590,-3.738,1500,80
0.081,6.271,-3.597,-2.640,1500,80
0.082,6.071,-4.505,-1.543,1500,80
0.083,5.672,-5.313,-0.445,1500,80
0.084,5.173,-5.921,0.652,1500,80
0.085,4.574,-6.229,1.750,1500,80
0.086,3.675,-6.336,2.747,1500,80
0.087,2.676,-6.243,3.744,1500,80
0.088,1.577,-6.050,4.641,1500,80
0.089,0.478,-5.658,5.439,1500,80
0.090,-0.620,-5.066,6.036,1500,80
0.091,-1.619,-4.374,6.444,1500,80
0.092,-2.619,-3.683,6.644,1500,80
0.093,-3.518,-2.892,6.644,1500,80
0.094,-4.417,-2.001,6.445,1500,80
0.095,-5.017,-1.011,6.046,1500,80
0.096,-5.517,0.079,5.447,1500,80
0.097,-5.917,1.069,4.749,1500,80
0.098,-6.018,2.059,3.951,1500,80
0.099,-5.919,2.950,2.952,1500,80 
