时间,Ia,Ib,Ic,转速,负载
0.000,3.853,3.956,-7.789,1500,80
0.001,4.465,3.198,-7.702,1500,80
0.002,5.058,2.201,-7.025,1500,80
0.003,5.660,0.883,-6.428,1500,80
0.004,6.262,-0.346,-5.620,1500,80
0.005,6.764,-1.655,-4.713,1500,80
0.006,7.166,-2.764,-3.816,1500,80
0.007,7.468,-3.772,-2.809,1500,80
0.008,7.569,-4.681,-1.902,1500,80
0.009,7.472,-5.391,-0.795,1500,80
0.010,7.175,-5.801,0.312,1500,80
0.011,6.779,-6.212,1.318,1500,80
0.012,6.183,-6.322,2.224,1500,80
0.013,5.387,-6.232,3.231,1500,80
0.014,4.391,-6.042,4.138,1500,80
0.015,3.394,-5.753,4.945,1500,80
0.016,2.297,-5.264,5.552,1500,80
0.017,1.201,-4.775,6.061,1500,80
0.018,0.304,-4.086,6.470,1500,80
0.019,-0.692,-3.298,6.680,1500,80
0.020,-1.689,-2.510,6.690,1500,80
0.021,-2.586,-1.722,6.501,1500,80
0.022,-3.483,-0.834,6.211,1500,80
0.023,-4.280,0.254,5.723,1500,80
0.024,-4.977,1.242,5.135,1500,80
0.025,-5.675,2.231,4.347,1500,80
0.026,-6.175,3.120,3.459,1500,80
0.027,-6.574,4.009,2.562,1500,80
0.028,-6.774,4.799,1.565,1500,80
0.029,-6.874,5.489,0.567,1500,80
0.030,-6.774,6.080,-0.431,1500,80
0.031,-6.574,6.471,-1.429,1500,80
0.032,-6.175,6.762,-2.427,1500,80
0.033,-5.677,6.854,-3.425,1500,80
0.034,-5.078,6.747,-4.324,1500,80
0.035,-4.279,6.540,-5.223,1500,80
0.036,-3.381,6.133,-6.023,1500,80
0.037,-2.482,5.727,-6.723,1500,80
0.038,-1.584,5.021,-7.224,1500,80
0.039,-0.685,4.316,-7.525,1500,80
0.040,0.213,3.510,-7.726,1500,80
0.041,1.112,2.605,-7.728,1500,80
0.042,2.011,1.600,-7.631,1500,80
0.043,2.810,0.595,-7.333,1500,80
0.044,3.609,-0.510,-6.837,1500,80
0.045,4.309,-1.615,-6.240,1500,80
0.046,4.909,-2.622,-5.544,1500,80
0.047,5.409,-3.628,-4.747,1500,80
0.048,5.809,-4.535,-3.851,1500,80
0.049,6.110,-5.342,-2.854,1500,80
0.050,6.310,-5.949,-1.758,1500,80
0.051,6.311,-6.357,-0.661,1500,80
0.052,6.212,-6.464,0.436,1500,80
0.053,5.913,-6.471,1.533,1500,80
0.054,5.514,-6.377,2.530,1500,80
0.055,4.916,-6.184,3.527,1500,80
0.056,4.217,-5.892,4.425,1500,80
0.057,3.418,-5.400,5.223,1500,80
0.058,2.519,-4.808,5.921,1500,80
0.059,1.520,-4.016,6.522,1500,80
0.060,0.521,-3.225,6.922,1500,80
0.061,-0.478,-2.334,7.223,1500,80
0.062,-1.477,-1.344,7.324,1500,80
0.063,-2.376,-0.254,7.225,1500,80
0.064,-3.275,0.837,6.926,1500,80
0.065,-4.074,1.827,6.528,1500,80
0.066,-4.773,2.717,5.930,1500,80
0.067,-5.372,3.508,5.231,1500,80
0.068,-5.871,4.198,4.433,1500,80
0.069,-6.272,4.888,3.534,1500,80
0.070,-6.571,5.478,2.536,1500,80
0.071,-6.673,6.068,1.538,1500,80
0.072,-6.673,6.459,0.440,1500,80
0.073,-6.574,6.649,-0.559,1500,80
0.074,-6.275,6.539,-1.557,1500,80
0.075,-5.876,6.331,-2.556,1500,80
0.076,-5.377,5.923,-3.454,1500,80
0.077,-4.778,5.415,-4.353,1500,80
0.078,-4.079,4.707,-5.151,1500,80
0.079,-3.280,3.900,-5.849,1500,80
0.080,-2.381,2.993,-6.448,1500,80
0.081,-1.482,2.086,-6.849,1500,80
0.082,-0.583,1.079,-7.148,1500,80
0.083,0.316,-0.028,-7.347,1500,80
0.084,1.214,-1.135,-7.349,1500,80
0.085,2.113,-2.141,-7.150,1500,80
0.086,3.012,-3.148,-6.853,1500,80
0.087,3.811,-4.055,-6.356,1500,80
0.088,4.510,-4.962,-5.758,1500,80
0.089,5.109,-5.670,-5.060,1500,80
0.090,5.609,-6.278,-4.263,1500,80
0.091,6.010,-6.585,-3.365,1500,80
0.092,6.309,-6.692,-2.468,1500,80
0.093,6.410,-6.599,-1.471,1500,80
0.094,6.411,-6.406,-0.474,1500,80
0.095,6.212,-6.014,0.524,1500,80
0.096,5.913,-5.522,1.522,1500,80
0.097,5.514,-4.929,2.419,1500,80
0.098,4.915,-4.138,3.317,1500,80
0.099,4.216,-3.347,4.114,1500,80 
