timestamp,Ia,Ib,Ic,rpm
0.000,2.35,2.33,2.34,1430
0.001,2.92,2.85,2.86,1430
0.002,3.41,3.29,3.31,1430
0.003,3.75,3.65,3.66,1430
0.004,3.98,3.90,3.91,1430
0.005,4.08,4.01,4.02,1430
0.006,4.04,3.98,3.99,1430
0.007,3.85,3.80,3.81,1430
0.008,3.48,3.50,3.51,1430
0.009,3.06,3.10,3.11,1430
0.010,2.57,2.63,2.64,1430
0.011,2.07,2.13,2.14,1430
0.012,1.56,1.63,1.64,1430
0.013,1.09,1.16,1.17,1430
0.014,0.69,0.76,0.77,1430
0.015,0.36,0.43,0.44,1430
0.016,0.12,0.18,0.19,1430
0.017,-0.04,0.03,0.04,1430
0.018,-0.09,-0.02,-0.01,1430
0.019,-0.06,0.02,0.03,1430
0.020,0.08,0.16,0.17,1430
0.021,0.30,0.39,0.40,1430
0.022,0.62,0.69,0.70,1430
0.023,0.99,1.06,1.07,1430
0.024,1.42,1.49,1.50,1430
0.025,1.88,1.93,1.94,1430
0.026,2.36,2.39,2.40,1430
0.027,2.80,2.82,2.83,1430
0.028,3.22,3.23,3.24,1430
0.029,3.58,3.57,3.58,1430
0.030,3.85,3.84,3.85,1430
0.031,4.01,3.99,4.00,1430
0.032,4.03,4.01,4.02,1430
0.033,3.91,3.89,3.90,1430
0.034,3.65,3.64,3.65,1430
0.035,3.28,3.28,3.29,1430
0.036,2.81,2.83,2.84,1430
0.037,2.28,2.31,2.32,1430
0.038,1.72,1.76,1.77,1430
0.039,1.15,1.21,1.22,1430
0.040,0.63,0.70,0.71,1430
0.041,0.19,0.25,0.26,1430
0.042,-0.15,-0.10,-0.09,1430
0.043,-0.41,-0.35,-0.34,1430
0.044,-0.56,-0.50,-0.49,1430
0.045,-0.60,-0.53,-0.52,1430
0.046,-0.52,-0.45,-0.44,1430
0.047,-0.33,-0.27,-0.26,1430
0.048,-0.08,-0.01,0.00,1430
0.049,0.25,0.32,0.33,1430
0.050,0.64,0.70,0.71,1430
0.051,1.05,1.12,1.13,1430
0.052,1.52,1.57,1.58,1430
0.053,1.98,2.02,2.03,1430
0.054,2.43,2.48,2.49,1430
0.055,2.87,2.90,2.91,1430
0.056,3.24,3.28,3.29,1430
0.057,3.58,3.61,3.62,1430
0.058,3.82,3.85,3.86,1430
0.059,3.97,3.99,4.00,1430
0.060,3.98,4.00,4.01,1430
0.061,3.86,3.89,3.90,1430
0.062,3.60,3.64,3.65,1430
0.063,3.24,3.29,3.30,1430
0.064,2.78,2.84,2.85,1430
0.065,2.27,2.33,2.34,1430
0.066,1.73,1.79,1.80,1430
0.067,1.18,1.25,1.26,1430
0.068,0.67,0.74,0.75,1430
0.069,0.23,0.29,0.30,1430
0.070,-0.13,-0.07,-0.06,1430
0.071,-0.38,-0.32,-0.31,1430
0.072,-0.54,-0.47,-0.46,1430
0.073,-0.57,-0.51,-0.50,1430
0.074,-0.49,-0.43,-0.42,1430
0.075,-0.32,-0.25,-0.24,1430
0.076,-0.06,0.02,0.03,1430
0.077,0.29,0.35,0.36,1430
0.078,0.67,0.73,0.74,1430
0.079,1.08,1.15,1.16,1430
0.080,1.54,1.60,1.61,1430
0.081,2.00,2.06,2.07,1430
0.082,2.47,2.51,2.52,1430
0.083,2.89,2.94,2.95,1430
0.084,3.27,3.32,3.33,1430
0.085,3.61,3.65,3.66,1430
0.086,3.83,3.88,3.89,1430
0.087,3.96,4.00,4.01,1430
0.088,3.97,4.00,4.01,1430
0.089,3.83,3.87,3.88,1430
0.090,3.57,3.62,3.63,1430
0.091,3.20,3.26,3.27,1430
0.092,2.74,2.81,2.82,1430
0.093,2.22,2.30,2.31,1430
0.094,1.67,1.75,1.76,1430
0.095,1.13,1.21,1.22,1430
0.096,0.62,0.70,0.71,1430
0.097,0.17,0.25,0.26,1430
0.098,-0.18,-0.10,-0.09,1430
0.099,-0.42,-0.34,-0.33,1430 
