时间,Ia,Ib,Ic,转速,负载
0.000,3.753,3.956,-7.589,1500,80
0.001,4.365,3.198,-7.502,1500,80
0.002,4.958,2.201,-6.925,1500,80
0.003,5.560,0.883,-6.328,1500,80
0.004,6.162,-0.346,-5.520,1500,80
0.005,6.564,-1.655,-4.613,1500,80
0.006,6.866,-2.764,-3.616,1500,80
0.007,7.068,-3.772,-2.609,1500,80
0.008,6.969,-4.681,-1.702,1500,80
0.009,6.672,-5.391,-0.595,1500,80
0.010,6.175,-5.801,0.612,1500,80
0.011,5.579,-6.212,1.618,1500,80
0.012,4.783,-6.322,2.524,1500,80
0.013,3.787,-6.232,3.431,1500,80
0.014,2.691,-6.042,4.338,1500,80
0.015,1.594,-5.753,5.145,1500,80
0.016,0.597,-5.264,5.752,1500,80
0.017,-0.499,-4.775,6.261,1500,80
0.018,-1.496,-4.086,6.570,1500,80
0.019,-2.392,-3.298,6.680,1500,80
0.020,-3.389,-2.510,6.590,1500,80
0.021,-4.286,-1.722,6.301,1500,80
0.022,-5.083,-0.834,5.911,1500,80
0.023,-5.680,0.254,5.323,1500,80
0.024,-6.178,1.242,4.535,1500,80
0.025,-6.476,2.231,3.747,1500,80
0.026,-6.575,3.120,2.849,1500,80
0.027,-6.474,4.009,1.952,1500,80
0.028,-6.174,4.799,0.955,1500,80
0.029,-5.774,5.489,-0.043,1500,80
0.030,-5.074,6.080,-1.141,1500,80
0.031,-4.374,6.471,-2.139,1500,80
0.032,-3.575,6.762,-3.237,1500,80
0.033,-2.677,6.854,-4.235,1500,80
0.034,-1.778,6.747,-5.134,1500,80
0.035,-0.879,6.540,-5.933,1500,80
0.036,0.019,6.133,-6.633,1500,80
0.037,0.918,5.727,-7.133,1500,80
0.038,1.816,5.021,-7.434,1500,80
0.039,2.715,4.316,-7.535,1500,80
0.040,3.613,3.510,-7.436,1500,80
0.041,4.312,2.605,-7.138,1500,80
0.042,5.011,1.600,-6.641,1500,80
0.043,5.610,0.595,-6.043,1500,80
0.044,6.009,-0.510,-5.347,1500,80
0.045,6.309,-1.615,-4.550,1500,80
0.046,6.409,-2.622,-3.654,1500,80
0.047,6.409,-3.628,-2.757,1500,80
0.048,6.209,-4.535,-1.661,1500,80
0.049,5.810,-5.342,-0.564,1500,80
0.050,5.310,-5.949,0.532,1500,80
0.051,4.711,-6.357,1.629,1500,80
0.052,3.912,-6.464,2.726,1500,80
0.053,3.013,-6.471,3.723,1500,80
0.054,2.014,-6.377,4.620,1500,80
0.055,0.916,-6.184,5.517,1500,80
0.056,-0.183,-5.892,6.215,1500,80
0.057,-1.282,-5.400,6.713,1500,80
0.058,-2.281,-4.808,7.111,1500,80
0.059,-3.180,-4.016,7.312,1500,80
0.060,-4.079,-3.225,7.312,1500,80
0.061,-4.978,-2.334,7.113,1500,80
0.062,-5.577,-1.344,6.714,1500,80
0.063,-6.077,-0.254,6.115,1500,80
0.064,-6.478,0.837,5.416,1500,80
0.065,-6.578,1.827,4.618,1500,80
0.066,-6.579,2.717,3.720,1500,80
0.067,-6.380,3.508,2.821,1500,80
0.068,-5.981,4.198,1.723,1500,80
0.069,-5.382,4.888,0.624,1500,80
0.070,-4.683,5.478,-0.474,1500,80
0.071,-3.984,6.068,-1.572,1500,80
0.072,-3.184,6.459,-2.670,1500,80
0.073,-2.385,6.649,-3.669,1500,80
0.074,-1.387,6.539,-4.667,1500,80
0.075,-0.388,6.331,-5.566,1500,80
0.076,0.510,5.923,-6.266,1500,80
0.077,1.409,5.415,-6.866,1500,80
0.078,2.308,4.707,-7.265,1500,80
0.079,3.207,3.900,-7.467,1500,80
0.080,4.005,2.993,-7.468,1500,80
0.081,4.704,2.086,-7.069,1500,80
0.082,5.303,1.079,-6.572,1500,80
0.083,5.803,-0.028,-5.974,1500,80
0.084,6.103,-1.135,-5.177,1500,80
0.085,6.303,-2.141,-4.380,1500,80
0.086,6.302,-3.148,-3.483,1500,80
0.087,6.102,-4.055,-2.386,1500,80
0.088,5.703,-4.962,-1.288,1500,80
0.089,5.104,-5.670,-0.190,1500,80
0.090,4.505,-6.278,0.907,1500,80
0.091,3.706,-6.585,2.005,1500,80
0.092,2.707,-6.692,3.002,1500,80
0.093,1.708,-6.599,3.999,1500,80
0.094,0.809,-6.406,4.896,1500,80
0.095,-0.289,-6.014,5.694,1500,80
0.096,-1.288,-5.522,6.292,1500,80
0.097,-2.287,-4.929,6.699,1500,80
0.098,-3.187,-4.138,6.899,1500,80
0.099,-4.086,-3.347,6.900,1500,80 
